MONTH,ERA5,M_CLM,E_HIRHAM,E_RACMO,H_RACMO,C_RCA,E_RCA,I_RCA,H_RCA,M_RCA,VAR,PERIOD
IX,71.716,78.565,73.633,64.31,59.21,93.23,72.432,74.725,56.655,77.953,P,1981_2005
X,56.987,78.479,77.519,58.731,65.852,81.275,67.272,77.437,69.832,81.305,P,1981_2005
XI,59.905,69.74,71.28,61.731,64.224,76.133,56.487,77.624,63.543,68.905,P,1981_2005
XII,65.809,80.206,78.619,59.47,64.558,68.894,58.709,81.894,68.742,76.579,P,1981_2005
I,NA,81.483,91.319,73.884,92.992,79.287,72.746,90.9,85.113,81.616,P,2076_2100
II,NA,75.656,72.967,48.981,77.413,72.768,54.737,79.319,79.195,76.753,P,2076_2100
III,NA,82.2,65.581,53.135,69.282,81.528,73.735,99.195,73.743,84.977,P,2076_2100
IV,NA,88.866,74.242,55.851,63.919,94.383,75.115,94.864,80.544,91.954,P,2076_2100
V,NA,97.72,89.614,100.81,85.882,121.83,102.24,98.472,89.212,99.241,P,2076_2100
VI,NA,99.05,84.544,85.758,81.784,132.62,85.32,79.686,77.578,94.599,P,2076_2100
VII,NA,83.179,88.62,74.755,63.809,124.88,73.023,72.489,56.884,81.41,P,2076_2100
VIII,NA,75.391,81.123,67.833,58.332,116.31,58.646,67.57,54.97,72.491,P,2076_2100
IX,NA,74.858,77.009,59.289,55.944,104.46,62.804,62.91,53.842,80.209,P,2076_2100
X,NA,81.494,76.231,61.612,70.412,86.098,77.103,89.003,65.238,86.062,P,2076_2100
XI,NA,77.604,87.352,68.403,71.928,90.891,70.082,101.05,70.446,82.254,P,2076_2100
XII,NA,93.126,89.521,74.015,85.059,82.869,74.278,108.75,82.881,88.768,P,2076_2100
I,-1.38,-1.4108,-1.2658,-1.3811,-2.2999,-2.7019,-0.14065,0.35062,0.51284,0.31461,Ta,1981_2005
II,-0.64,-0.60689,0.052789,-1.5794,-0.91884,-2.5085,-0.77438,-0.32887,1.3554,0.70006,Ta,1981_2005
III,3.2,3.365,2.5855,0.73415,2.2131,0.74188,1.9643,2.2391,3.7671,4.1438,Ta,1981_2005
IV,7.62,7.6017,8.2669,5.9467,6.8378,5.1748,6.2368,5.4998,7.7564,7.9847,Ta,1981_2005
V,12.99,12.171,10.947,11.35,12.207,10.051,10.185,9.0209,12.339,11.873,Ta,1981_2005
VI,15.72,14.747,14.313,13.704,16.821,14.218,13.056,13.289,16.921,14.921,Ta,1981_2005
VII,17.9,15.907,16.035,15.989,18.571,16.705,15.987,16.854,18.475,16.693,Ta,1981_2005
VIII,17.84,15.219,15.078,15.794,16.926,16.384,15.685,16.564,17.949,16.661,Ta,1981_2005
IX,13.62,12.65,11.861,11.71,12.997,12.654,12.211,12.654,13.636,13.756,Ta,1981_2005
X,9.07,8.0815,7.3666,7.4205,7.5541,8.0291,7.5515,8.3206,8.5252,9.2685,Ta,1981_2005
XI,3.26,3.129,3.6815,1.9282,2.8406,2.9218,3.6382,4.5876,4.1571,4.4743,Ta,1981_2005
XII,-0.31,0.65642,-0.087887,-0.39588,-1.8683,-1.3022,0.1178,1.7861,0.74664,2.082,Ta,1981_2005
I,NA,1.951,2.3404,2.0292,3.0968,2.1904,3.3066,4.0751,5.0536,3.8074,Ta,2076_2100
II,NA,2.9399,3.2584,2.2307,3.5623,3.469,3.463,5.1843,5.3088,4.6859,Ta,2076_2100
III,NA,6.0057,5.106,4.7032,6.1882,4.8307,6.4255,6.8347,7.4295,7.6116,Ta,2076_2100
IV,NA,9.6736,10.661,9.6416,11.036,8.1354,9.8898,8.9288,10.86,10.802,Ta,2076_2100
V,NA,13.951,13.333,13.253,16.004,11.916,13.418,12.518,16.076,14.848,Ta,2076_2100
VI,NA,16.724,17.426,16.644,21.852,16.889,16.782,17.799,21.752,17.874,Ta,2076_2100
VII,NA,19.018,19.498,19.583,23.493,19.353,20.239,21.415,23.707,20.781,Ta,2076_2100
VIII,NA,19.308,18.717,19.258,22.462,19.023,20.793,21.246,22.84,21.164,Ta,2076_2100
IX,NA,16.089,15.788,16.059,18.83,15.511,16.857,18.565,19.517,17.125,Ta,2076_2100
X,NA,10.907,10.817,11.231,13.581,10.72,11.683,12.027,14.074,12.202,Ta,2076_2100
XI,NA,6.538,6.1697,5.7846,7.4403,6.6252,7.2329,8.0037,8.7196,8.2366,Ta,2076_2100
XII,NA,3.2977,3.6113,2.6496,4.146,3.1697,4.2456,5.6082,5.8994,5.0486,Ta,2076_2100
