MONTH,ERA5,CNRM,IPSL,MOHC,MPI,EARTH,VAR,PERIOD
XII,-0.31,-0.32563,1.9907,-2.7924,1.9722,0.78876,Ta,1981_2005
I,NA,2.9048,4.1712,2.8917,3.5674,3.1103,Ta,2076_2100
II,NA,3.8652,4.9471,3.9649,4.4715,3.1847,Ta,2076_2100
III,NA,5.2027,6.7299,7.489,7.3538,5.2231,Ta,2076_2100
IV,NA,8.9573,10.853,12.698,11.265,9.6269,Ta,2076_2100
V,NA,13.991,15.688,19.686,15.579,14.119,Ta,2076_2100
VI,NA,20.225,22.576,26.742,18.883,17.482,Ta,2076_2100
VII,NA,24.394,25.714,29.172,21.249,19.876,Ta,2076_2100
VIII,NA,23.167,24.093,27.657,21.829,19.646,Ta,2076_2100
IX,NA,17.297,19.882,21.813,18.714,16.472,Ta,2076_2100
X,NA,11.209,12.287,14.122,13.171,11.556,Ta,2076_2100
XI,NA,6.5878,8.0131,6.7249,8.686,6.8612,Ta,2076_2100
XII,NA,3.4569,5.6241,3.7521,4.8429,3.4685,Ta,2076_2100
