MONTH,ERA5,AWI,BCC,CESM2,CMCC_C,CMCC_E,CNRM,EARTH,EARTH_C,EARTH_V,GFDL_C,GFDL_E,HADGEM,INM,IPSL,MPI,MRI,NOR,TAI,VAR,PERIOD
VIII,NA,223.72,234.49,228.07,239.02,233.71,230.13,219.54,223.46,215.95,215.16,211.09,253.03,260.57,239.46,214.48,232.97,238.71,246.3,Rg,2076_2100
IX,NA,156.39,166.65,168.87,173.83,175.74,167.14,160.96,159.16,157.45,152.03,149.33,184.29,177.18,152.17,147.64,163.33,172.74,178.8,Rg,2076_2100
X,NA,92.123,87.895,96.688,99.426,100.68,99.519,92.609,93.17,90.864,90.94,82.821,105.68,95.678,84.836,79.983,92.961,96.587,100.97,Rg,2076_2100
XI,NA,37.882,33.686,45.773,50.316,49.38,52.659,43.001,43.845,43.056,44.771,40.113,47.195,47.906,39.312,35.72,46.666,48.136,50.081,Rg,2076_2100
XII,NA,22.373,20.216,28.148,30.399,29.17,34.249,26.502,27.884,26.832,26.894,24.889,27.544,32.627,22.964,22.801,33.545,29.972,30.224,Rg,2076_2100
I,27.632,26.7667,20.6664,25.3447,26.5456,27.3087,27.318,21.452,21.282,20.006,24.329,19.664,24.125,29.621,23.594,25.7952,22.917,24.686,29.3022,SW_net,1981_2005
II,50.522,46.7016,38.842,48.259,50.734,49.183,48.36,39.472,45.126,38.445,47.585,37.276,44.132,59.13,44.079,46.852,43.309,50.243,55.946,SW_net,1981_2005
III,92.659,83.983,71.193,94.601,97.936,90.117,103.276,79.67,82.196,82.373,92.316,68.164,81.238,110.033,92.584,87.256,78.974,99.005,105.153,SW_net,1981_2005
IV,146.35,134.407,126.295,153.379,146.19,149.846,162.984,135.429,140.751,139.712,136.909,102.098,126.42,166.52,143.472,141.151,128.725,149.173,152.128,SW_net,1981_2005
V,176.93,184.678,172.726,187.746,184.626,185.111,203.107,184.607,187.941,179.354,175.824,152.706,171.559,204.81,182.413,184.306,172.83,191.864,187.185,SW_net,1981_2005
VI,179.74,204.947,208.01,201.308,206.681,209.036,220.592,202.339,209.008,202.747,196.557,196.408,208.195,235.851,222.798,201.25,195.76,205.271,208.46,SW_net,1981_2005
VII,177.41,194.746,210.928,189.316,217.061,213.187,215.042,188.553,197.63,193.59,192.601,186.108,206.909,242.376,234.329,193.484,186.049,199.917,214.777,SW_net,1981_2005
VIII,156.64,166.013,177.698,167.281,181.868,178.574,185.273,161.943,161.23,163.435,160.674,148.251,171.46,205.321,181.912,160.039,147.405,173.753,178.739,SW_net,1981_2005
IX,108.49,120.396,128.817,125.823,131.435,126.62,140.446,126.245,126.672,124.962,114.927,101.216,131.031,139.147,120.739,111.38,101.588,131.992,126.218,SW_net,1981_2005
X,69.725,68.203,63.0168,72.423,75.088,73.753,84.959,74.624,75.959,76.755,71.053,55.156,73.384,80.473,66.676,64.9276,56.373,73.562,75.078,SW_net,1981_2005
XI,35.622,31.8726,25.165,36.7116,36.7405,36.0157,45.0442,33.16,32.6572,33.9464,32.3762,26.284,32.5945,40.7713,33.3157,29.4276,29.486,36.3383,36.6783,SW_net,1981_2005
XII,22.07,19.487,16.0185,21.391,21.7234,20.7758,25.396,17.243,18.417,19.085,20.1552,16.457,19.9921,25.7072,21.315,20.5479,18.23,21.8943,22.4771,SW_net,1981_2005
I,NA,25.6345,20.7635,30.8124,30.387,29.7826,34.5347,29.4683,28.7838,27.3811,27.5571,23.209,27.401,34.3079,25.2042,26.9261,27.234,29.8596,30.8731,SW_net,2076_2100
II,NA,47.8563,42.1497,55.409,57.472,58.324,63.109,54.521,53.291,54.172,55.616,39.456,50.564,64.096,47.846,49.0798,50.187,56.393,58.457,SW_net,2076_2100
III,NA,90.607,82.552,102.007,106.537,101.953,110.34,91.728,95.196,94.358,100.054,76.176,87.925,118.211,86.245,87.709,92.121,104.332,106.194,SW_net,2076_2100
IV,NA,151.69,132.146,167.775,163.181,154.409,165.036,145.046,151.069,141.158,147.878,118.828,143.678,170.564,139.69,141.572,138.907,158.801,164.794,SW_net,2076_2100
V,NA,193.948,184.59,202.245,210.554,208.996,210.99,190.083,198.384,192.158,192.049,178.616,195.988,211.187,203.774,194.682,183.978,202.261,210.394,SW_net,2076_2100
VI,NA,221.552,227.772,227.704,241.005,233.692,231.419,217.96,221.389,218.814,219.006,211.494,234.69,249.854,252.269,216.691,213.957,227.378,244.012,SW_net,2076_2100
VII,NA,224.993,235.526,216.529,238.559,233.242,222.083,217.034,218.871,214.766,212.202,198.103,234.212,256.343,249.392,215.327,206.361,238.962,248.835,SW_net,2076_2100
VIII,NA,195.439,203.059,191.847,200.672,196.733,194.858,190.689,194.505,187.619,175.306,163.853,206.006,215.685,206.323,185.231,167.265,200.687,207.519,SW_net,2076_2100
IX,NA,137.752,144.562,140.391,144.735,146.443,143.325,141.022,139.695,137.975,122.533,114.403,150.422,148.458,131.533,129.678,114.112,143.438,148.839,SW_net,2076_2100
X,NA,81.347,76.435,80.299,82.598,83.353,86.448,81.611,82.181,79.957,72.178,62.207,87.463,81.11,73.568,70.5829,63.504,80.137,84.061,SW_net,2076_2100
XI,NA,33.6226,29.0856,38.1728,41.8017,40.9785,45.8756,37.7384,38.4714,37.5913,34.9827,29.349,39.4294,40.7678,34.1879,31.8331,30.904,40.0862,41.7449,SW_net,2076_2100
XII,NA,20.1072,17.2488,23.4051,25.2828,24.2499,29.1131,22.7512,23.1458,21.9382,20.7218,17.1807,22.4077,27.439,19.9552,20.3289,22.278,24.6427,25.2207,SW_net,2076_2100
I,37.568,29.12,28.46,33.8,32.7,34.62,35.02,35.04,32.73,31.68,32.15,29.43,25.47,45.77,27.13,27.34,36.44,33,35.6,LW_net,1981_2005
II,44.12,30.09,31.57,39.66,40.74,39.51,41.83,40.39,40.87,37.05,38.98,33.69,30.23,53.81,27.77,29.4,41.12,41.99,44.46,LW_net,1981_2005
III,50.532,34.51,38.25,53.16,52.57,48.19,54.38,47.85,46.89,47.29,50,36.82,36.57,60.71,35.8,36.82,48.76,55.74,57.74,LW_net,1981_2005
IV,60.022,45.61,52.86,65.96,59.76,60.88,65.06,54.8,56.76,56.68,55.66,41.08,46.81,66.42,50.14,49.55,58.83,64.51,63.1,LW_net,1981_2005
V,62.156,56.45,62.6,62.96,61.82,62.14,71.6,62.82,63.26,59.85,60.96,52.4,57.16,66.37,60.29,56.85,65.18,64.11,64.09,LW_net,1981_2005
VI,58.711,57.42,67.76,58.87,63.21,64.54,75.64,62.98,64.82,62.85,62.03,61.13,67,75.13,72.11,56.41,66.85,59.54,66.1,LW_net,1981_2005
VII,58.528,56.31,70.62,60,70.88,68.65,81.2,60.88,64.32,62.46,60.93,59.26,69.8,91.98,78.46,55.78,63.95,62.63,70.52,LW_net,1981_2005
VIII,59.433,58.02,71.01,67.85,70.5,68.43,79.17,60.59,60.21,61.31,57.23,53.91,66.34,93.4,70.71,54.87,59.01,69.53,67.72,LW_net,1981_2005
IX,52.79,56.45,67.27,64.8,63.56,61.13,70.82,60.63,60.58,60.18,53.07,47.32,64.34,72.48,57.75,50.55,54.73,68.25,60.87,LW_net,1981_2005
X,49.161,45.23,45.5,52.44,50.97,49.97,55.53,51.81,52.18,52.41,49.66,37.22,48,58.69,43,41.07,44.62,53.26,51.17,LW_net,1981_2005
XI,38.766,30.19,28.68,41.41,39.68,37.86,45.12,37.55,35.93,37.99,35.78,29.45,29.53,50.21,30.93,26.24,38.54,40.89,39.34,LW_net,1981_2005
XII,34.754,24.56,25.97,33.43,32.31,30.4,36.17,32.24,32.29,33.14,31.06,28.37,25.17,47.32,28.38,26.7,34.3,34.55,32.03,LW_net,1981_2005
I,NA,24.67,25.6,36.87,35.9,34.98,35.16,34.45,32.93,31.11,34.24,29.21,26.44,44.22,24.67,24.53,38.05,35.8,35.67,LW_net,2076_2100
II,NA,27.57,33.13,42.58,42.88,43.98,43.07,40.22,39.07,39.77,45.69,30.37,30.69,50.28,28.63,27.41,43.94,42.98,44.05,LW_net,2076_2100
III,NA,36.64,42.79,52.79,53.81,51.2,51.71,43.79,45.89,45.16,54.78,39.41,37.95,59.22,36.15,33.89,52.59,55.53,54.22,LW_net,2076_2100
IV,NA,51.53,53.22,66.85,62.59,58.63,62.16,50.66,53.57,48.61,60.89,46.19,52.98,63.2,51.72,45.22,58.27,64.93,64.54,LW_net,2076_2100
V,NA,55.07,61.49,62.73,67.37,67.33,70.17,54.01,56.96,54.2,64.38,60.28,64.85,64.86,70.99,55.33,63.19,64.27,69.34,LW_net,2076_2100
VI,NA,57.8,70.24,65.74,73.42,69.39,74.85,57.65,59.98,56.28,64.02,63.96,74.49,79.32,84.05,56.47,65.17,65.55,75.65,LW_net,2076_2100
VII,NA,61.1,78.25,71.78,81.37,76.3,75.87,60.46,63.05,59.16,60.04,61.26,81.09,102.17,82.97,59.49,62.3,82.22,85.7,LW_net,2076_2100
VIII,NA,68.24,80.56,75.61,81.27,78.45,78.8,65.47,67.82,63.34,55.97,57.24,84.75,99.56,78.73,63.14,59.9,80.14,86.6,LW_net,2076_2100
IX,NA,65.05,72,70.77,71.18,72.25,67.55,61.19,61.86,59.43,53.31,51.86,74.66,74.76,62.26,59.59,55.06,73.62,74.69,LW_net,2076_2100
X,NA,55.17,52.65,55.01,53.45,55.03,52.36,50.21,50.82,48.61,48.76,40.84,57.18,54.37,47.89,44.58,45.49,56.46,54.98,LW_net,2076_2100
XI,NA,32.84,31.79,39.19,41.87,41.22,40.63,36.88,37.95,37.05,38.09,30.57,36.69,45.44,34.01,28.66,35.88,42.61,42.27,LW_net,2076_2100
XII,NA,24.31,25.77,32.41,36.07,33.85,34.16,31.05,32.19,29.94,31.11,25.14,26.67,43.16,24.36,23.94,37.88,35.36,35.57,LW_net,2076_2100
I,57.462,72.65807777,76.023,69.632,52.801,60.332,54.016,59.1,57.804,58.754,65.237,66.706,65.49,53.288,63.54,70.931,62.283,74.185,57.786,P,1981_2005
II,51.047,64.71943412,53.698,62.616,44.914,47.789,47.851,47.143,46.7,52.671,47.48,50.265,61.83,47.777,59.5,60.486,61.482,62.303,43.17,P,1981_2005
III,63.407,71.68520011,56.615,63.282,40.031,48.782,54.751,58.306,62.154,50.476,50.064,60.344,61.92,59.3,55.206,68.772,64.191,60.364,46.464,P,1981_2005
IV,63.022,77.79282776,59.324,60.294,57.852,49.832,63.108,58.447,66.522,62.683,57.909,62.893,63.771,67.148,56.947,74.881,63.19,64.604,49.457,P,1981_2005
V,80.323,96.57639642,80.528,76.877,71.633,76.24,67.488,76.95,78.279,87.864,79.366,75.285,77.78,86.709,83.247,90.83,84.266,83.045,65.088,P,1981_2005
VI,91.552,89.59470343,79.167,86.19,87.411,87.886,69.048,86.014,80.073,86.376,91.768,92.335,81.361,79.113,94.32,98.045,97.778,78.179,77.574,P,1981_2005
VII,97.963,86.36638027,65.93,74.115,67.432,77.959,59.14,89.539,78.904,77.604,98.344,103.72,81.172,44.777,80.105,86.157,99.285,61.597,69.898,P,1981_2005
VIII,84.444,63.64799647,56.908,54.888,65.202,59.534,56.888,70.825,74.226,70.703,95.509,104.77,73.966,36.75,64.7,70.095,86.932,52.728,68.548,P,1981_2005
IX,71.716,55.22247759,53.322,47.889,46.379,55.728,55.018,51.738,57.866,59.696,76.174,80.594,47.434,58.523,60.796,67.651,68.726,41.788,47.054,P,1981_2005
X,56.987,64.40953285,76.162,63.6,52.483,52.701,66.919,59.433,56.022,54.332,59.657,67.272,51.04,64.1,62.774,68.452,71.066,63.31,47.518,P,1981_2005
XI,59.905,73.76044463,84.497,62.806,59.169,60.013,61.924,62.074,68.741,60.357,64.681,72.969,63.907,67.886,65.748,84.327,70.868,67.181,55.328,P,1981_2005
XII,65.809,87.02304931,72.361,74.02,57.294,62.866,64.083,66.282,66.81,57.475,63.371,76.047,69.961,67.004,61.21,77.402,72.907,70.421,57.665,P,1981_2005
I,NA,94.48806583,85.228,79.057,75.277,73.539,77.536,73.285,70.876,78.237,68.533,72.351,76.47,72.054,87.179,83.001,66.238,72.348,81.979,P,2076_2100
II,NA,79.04456054,66.325,71.438,58.389,57.79,62.473,63.762,70.021,56.36,48.694,68.304,71.344,65.782,72.869,78.038,58.661,77.058,70.83,P,2076_2100
III,NA,84.12985924,68.078,78.034,56.585,61.849,73.859,82.196,76.76,75.832,52.545,64.218,88.212,63.605,71.96,92.756,62.672,64.102,63.763,P,2076_2100
IV,NA,77.34014211,75.502,61.345,56.585,62.154,68.717,85.605,76.12,85.894,70.447,76.747,74.773,73.536,67.107,95.387,73.301,61.316,53.306,P,2076_2100
V,NA,99.15220224,71.882,72.097,72.338,69.238,72.19,89.574,85.584,93.484,83.477,73.232,82.322,91.995,67.96,90.951,87.863,71.559,66.494,P,2076_2100
VI,NA,82.17428061,63.392,66.441,64.004,75.017,64.078,82.211,77.982,85.367,81.835,84.784,69.527,65.072,72.237,87.265,94.582,68.244,56.996,P,2076_2100
VII,NA,58.02438675,49.028,46.771,47.306,49.272,64.656,70.328,65.302,71.367,89.794,95.411,52.687,31.808,71.201,63.367,82.779,30.799,31.135,P,2076_2100
