"VPD","ET","P","Ta","label","model","PERIOD"
0.788948659095337,600.05327960341,768.281,14.7822292265572,"HADGEM","CMIP5","2076_2100"
NA,NA,NA,NA,"H_RACMO","CMIP5","2076_2100"
NA,NA,NA,NA,"H_RCA","CMIP5","2076_2100"
0.333772761401983,602.3506188792,835.53,10.8511197125257,"INM","CMIP5","2076_2100"
0.573354114058655,570.05835894566,818.163,13.4236872689938,"IPSL","CMIP5","2076_2100"
NA,NA,NA,NA,"I_RCA","CMIP5","2076_2100"
0.44380026745503,610.102090728519,854.493,12.5068171800137,"MPI","CMIP5","2076_2100"
0.345298135824474,667.362223694683,968.832,11.8453215605749,"MRI","CMIP5","2076_2100"
NA,NA,NA,NA,"M_CLM","CMIP5","2076_2100"
NA,NA,NA,NA,"M_RCA","CMIP5","2076_2100"
0.472832503160313,616.932412711931,827.56,13.2545542778919,"NOR","CMIP5","2076_2100"
NA,NA,NA,NA,"TAI","CMIP5","2076_2100"
0.540360397551399,723.321086293905,887.59278449,14.0095264202601,"AWI","CMIP6","2076_2100"
0.531513187486349,578.748951413312,801.88,12.3455210814511,"BCC","CMIP6","2076_2100"
NA,NA,NA,NA,"CESM-B","CMIP6","2076_2100"
NA,NA,NA,NA,"CESM-C","CMIP6","2076_2100"
0.690649467763525,518.84740054324,783.303,14.9582863107461,"CESM2","CMIP6","2076_2100"
NA,NA,NA,NA,"CMCC-CESM","CMIP6","2076_2100"
NA,NA,NA,NA,"CMCC-CMS","CMIP6","2076_2100"
0.760235322527975,540.826077988359,691.368,15.9517871321013,"CMCC_C","CMIP6","2076_2100"
0.680851181496279,546.688368633453,709.016,15.112057357974,"CMCC_E","CMIP6","2076_2100"
0.574880260132903,582.093700209853,807.768,12.8180856262834,"CNRM","CMIP6","2076_2100"
NA,NA,NA,NA,"C_RCA","CMIP6","2076_2100"
0.465512730768083,744.800777868418,866.486,13.7397848733744,"EARTH","CMIP6","2076_2100"
0.502791731004151,730.281774042157,842.072,14.086426899384,"EARTH_C","CMIP6","2076_2100"
0.441803219570827,753.637239132296,893.946,13.5097386036961,"EARTH_V","CMIP6","2076_2100"
NA,NA,NA,NA,"E_HIRHAM","CMIP6","2076_2100"
NA,NA,NA,NA,"E_RACMO","CMIP6","2076_2100"
NA,NA,NA,NA,"E_RCA","CMIP6","2076_2100"
NA,NA,NA,NA,"GFDL-C","CMIP6","2076_2100"
NA,NA,NA,NA,"GFDL-E","CMIP6","2076_2100"
0.418372571441938,652.074975360731,919.036,12.7077434633812,"GFDL_C","CMIP6","2076_2100"
0.271458721247427,676.363759652314,929.085,11.0412075975359,"GFDL_E","CMIP6","2076_2100"
0.593555689574442,606.302008177956,759.4,13.9923124572211,"HADGEM","CMIP6","2076_2100"
NA,NA,NA,NA,"H_RACMO","CMIP6","2076_2100"
NA,NA,NA,NA,"H_RCA","CMIP6","2076_2100"
0.675534551493259,603.877980093342,765.871,12.7437031485284,"INM","CMIP6","2076_2100"
0.730593025862564,554.563770044528,833.384,15.3511430527036,"IPSL","CMIP6","2076_2100"
NA,NA,NA,NA,"I_RCA","CMIP6","2076_2100"
0.397064192074609,730.059936324219,938.583,11.8249427104723,"MPI","CMIP6","2076_2100"
0.412203477221936,691.190057139704,906.23,12.7609684462697,"MRI","CMIP6","2076_2100"
NA,NA,NA,NA,"M_CLM","CMIP6","2076_2100"
NA,NA,NA,NA,"M_RCA","CMIP6","2076_2100"
